network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T05:00:00Z,4.76 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T06:00:00Z,4.7 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T07:00:00Z,4.67 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T08:00:00Z,4.55 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T09:00:00Z,4.52 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T10:00:00Z,4.74 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T11:00:00Z,4.76 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T12:00:00Z,4.81 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T13:00:00Z,4.78 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T14:00:00Z,4.59 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T15:00:00Z,4.63 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T16:00:00Z,4.61 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T17:00:00Z,4.65 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T18:00:00Z,4.52 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T19:00:00Z,4.54 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T20:00:00Z,4.64 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T21:00:00Z,4.75 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-06T22:00:00Z,4.93 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T04:00:00Z,4.78 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T05:00:00Z,4.67 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T06:00:00Z,4.74 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T07:00:00Z,4.77 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T08:00:00Z,4.72 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T09:00:00Z,4.82 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T10:00:00Z,4.82 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T11:00:00Z,4.92 
