network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water,qcFlag 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T12:00:00Z,2.27,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T12:15:00Z,5.47,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T12:30:00Z,5.23,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T12:45:00Z,5.01,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T13:00:00Z,4.74,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T13:00:00Z,2.12,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T13:00:00Z,1.73,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T13:00:00Z,11.25,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T13:00:00Z,2.31,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T13:15:00Z,4.6,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T13:30:00Z,4.74,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T13:45:00Z,4.97,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T14:00:00Z,4.92,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T14:00:00Z,2.22,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T14:00:00Z,1.56,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T14:00:00Z,11.22,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T14:00:00Z,2.02,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T14:15:00Z,4.93,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T14:30:00Z,5.32,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T14:45:00Z,5.17,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T15:00:00Z,5.36,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T15:00:00Z,2.02,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T15:00:00Z,1.77,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T15:00:00Z,12.88,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T15:00:00Z,2.03,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T15:15:00Z,5.16,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T15:30:00Z,5.1,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T15:45:00Z,5.01,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T16:00:00Z,5.16,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T16:00:00Z,1.86,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T16:00:00Z,1.67,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T16:00:00Z,13.37,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T16:00:00Z,1.95,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T16:15:00Z,5.28,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T16:30:00Z,5.29,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T16:45:00Z,5.55,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T17:00:00Z,5.32,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T17:00:00Z,1.88,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T17:00:00Z,2.13,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T17:00:00Z,12.56,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T17:00:00Z,1.92,1111122 
