network,platform,latitude,longitude,date,relative_humidity 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2020-07-01T07:00:00Z,83.5 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-07-01T07:00:00Z,83.3 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-07-01T07:01:00Z,85.2 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T07:15:00Z,76.5 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T07:15:00Z,78.6 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T07:15:00Z,76.6 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T07:30:00Z,75.9 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T07:30:00Z,76.1 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T07:30:00Z,78.3 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-07-01T07:34:00Z,87.0 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2020-07-01T07:35:00Z,77.97 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-07-01T07:35:00Z,72.89 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T07:45:00Z,75.6 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T07:45:00Z,78.3 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T07:45:00Z,76.0 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-07-01T07:50:00Z,76.33 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-07-01T07:54:00Z,78.23 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-07-01T07:54:00Z,70.94 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T07:57:00Z,79.86 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-07-01T07:59:00Z,0.339 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T08:00:00Z,76.5 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T08:00:00Z,77.1 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T08:00:00Z,76.4 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2020-07-01T08:00:00Z,80.9 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2020-07-01T08:00:00Z,78.6 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-07-01T08:00:00Z,85.9 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T08:15:00Z,76.8 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T08:15:00Z,77.0 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T08:15:00Z,75.5 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T08:30:00Z,77.1 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T08:30:00Z,79.3 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T08:30:00Z,76.8 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2020-07-01T08:30:00Z,78.2 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-07-01T08:31:00Z,88.5 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2020-07-01T08:35:00Z,78.59 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-07-01T08:35:00Z,71.8 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T08:45:00Z,77.2 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T08:45:00Z,79.0 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T08:45:00Z,77.4 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-07-01T08:50:00Z,74.82 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-07-01T08:54:00Z,85.12 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-07-01T08:54:00Z,72.49 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T08:57:00Z,76.75 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-07-01T08:57:00Z,81.1 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-07-01T08:59:00Z,0.339 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T09:00:00Z,76.7 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T09:00:00Z,77.9 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T09:00:00Z,76.9 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2020-07-01T09:00:00Z,80.6 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-07-01T09:00:00Z,85.3 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T09:15:00Z,77.7 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T09:15:00Z,77.6 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T09:15:00Z,77.8 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T09:30:00Z,77.9 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T09:30:00Z,78.1 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T09:30:00Z,77.0 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-07-01T09:31:00Z,88.1 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2020-07-01T09:35:00Z,79.27 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-07-01T09:35:00Z,74.04 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T09:45:00Z,77.9 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T09:45:00Z,79.3 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T09:45:00Z,77.1 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-07-01T09:50:00Z,79.14 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-07-01T09:54:00Z,83.22 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-07-01T09:54:00Z,72.14 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T09:57:00Z,75.53 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-07-01T09:59:00Z,0.339 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-07-01T09:59:00Z,81.2 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T10:00:00Z,78.5 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T10:00:00Z,78.9 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T10:00:00Z,76.3 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2020-07-01T10:00:00Z,78.2 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2020-07-01T10:00:00Z,75.8 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-07-01T10:00:00Z,81.3 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T10:15:00Z,77.4 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T10:15:00Z,78.6 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T10:15:00Z,77.2 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T10:30:00Z,77.0 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T10:30:00Z,79.2 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T10:30:00Z,77.5 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2020-07-01T10:30:00Z,74.2 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-07-01T10:31:00Z,88.6 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2020-07-01T10:35:00Z,79.66 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-07-01T10:35:00Z,74.74 
