network,platform,latitude,longitude,date,relative_humidity,qcFlag 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2019-11-01T04:00:00Z,64.1,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T04:15:00Z,66.9,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T04:15:00Z,1025.0,11144222 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2019-11-01T04:15:00Z,87.3,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T04:30:00Z,62.7,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T04:30:00Z,1025.0,11144222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2019-11-01T04:30:00Z,33.3,11111222 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2019-11-01T04:30:00Z,55.4,11111222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-11-01T04:34:00Z,84.0,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-11-01T04:35:00,86.85,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-11-01T04:35:00,82.01,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-11-01T04:35:00Z,70.16,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T04:45:00Z,61.6,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T04:45:00Z,1025.0,11144222 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2019-11-01T04:45:00Z,80.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-11-01T04:45:00Z,93.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-11-01T04:45:00Z,81.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-11-01T04:54:00,83.38,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-11-01T04:54:00,83.58,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-11-01T04:54:00,69.37,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-11-01T04:56:00Z,77.4,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-11-01T04:57:00Z,67.05,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T05:00:00Z,64.0,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2019-11-01T05:00:00Z,67.7,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2019-11-01T05:00:00Z,66.2,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T05:15:00Z,63.4,11111222 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2019-11-01T05:15:00Z,88.6,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T05:30:00Z,64.0,11111222 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2019-11-01T05:30:00Z,57.6,11111222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-11-01T05:34:00Z,86.1,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-11-01T05:35:00,87.32,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-11-01T05:35:00,79.83,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-11-01T05:35:00Z,73.76,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T05:45:00Z,63.0,11111222 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2019-11-01T05:45:00Z,82.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-11-01T05:45:00Z,95.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-11-01T05:45:00Z,84.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-11-01T05:54:00,88.76,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-11-01T05:54:00,89.06,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-11-01T05:54:00,74.53,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-11-01T05:56:00Z,80.6,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-11-01T05:57:00Z,68.9,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T06:00:00Z,63.3,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2019-11-01T06:00:00Z,72.0,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2019-11-01T06:00:00Z,38.1,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2019-11-01T06:00:00Z,67.5,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T06:15:00Z,64.5,11111222 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2019-11-01T06:15:00Z,91.4,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T06:30:00Z,64.8,11111222 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2019-11-01T06:30:00Z,64.2,11111222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-11-01T06:34:00Z,87.7,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-11-01T06:35:00,89.1,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-11-01T06:35:00,79.55,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-11-01T06:35:00Z,69.34,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T06:45:00Z,65.1,11111222 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2019-11-01T06:45:00Z,86.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-11-01T06:45:00Z,92.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-11-01T06:45:00Z,85.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-11-01T06:54:00,92.86,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-11-01T06:54:00,92.46,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-11-01T06:54:00,71.99,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-11-01T06:56:00Z,81.6,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-11-01T06:57:00Z,67.21,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T07:00:00Z,67.1,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2019-11-01T07:00:00Z,70.2,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2019-11-01T07:00:00Z,36.1,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2019-11-01T07:00:00Z,62.1,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T07:15:00Z,67.4,11111222 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2019-11-01T07:15:00Z,93.8,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T07:30:00Z,68.3,11111222 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2019-11-01T07:30:00Z,74.5,11111222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-11-01T07:34:00Z,87.5,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-11-01T07:35:00,90.43,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-11-01T07:35:00,81.72,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-11-01T07:35:00Z,72.46,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-11-01T07:40:00Z,82.5,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T07:45:00Z,69.0,11111222 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2019-11-01T07:45:00Z,89.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-11-01T07:45:00Z,82.0,11111222 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2019-11-01T07:45:00Z,99.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-11-01T07:45:00Z,84.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-11-01T07:54:00,92.22,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-11-01T07:54:00,94.18,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-11-01T07:54:00,72.25,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-11-01T07:57:00Z,71.63,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T08:00:00Z,68.9,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2019-11-01T08:00:00Z,71.5,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2019-11-01T08:00:00Z,39.1,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2019-11-01T08:00:00Z,61.7,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T08:15:00Z,70.1,11111222 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2019-11-01T08:15:00Z,96.7,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T08:30:00Z,68.5,11111222 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2019-11-01T08:30:00Z,72.3,11111222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-11-01T08:34:00Z,89.3,11111222 
