network,platform,latitude,longitude,date,sea_water_turbidity 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T08:15:00Z,34.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T08:15:00Z,81.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T08:30:00Z,309.516046 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T08:45:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T08:45:00Z,13.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T08:45:00Z,133.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T09:00:00Z,285.134038 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T09:00:00Z,2.86 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T09:00:00Z,1.84 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T09:00:00Z,2.57 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T09:00:00Z,2.51 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T09:15:00Z,28.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T09:15:00Z,47.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T09:15:00Z,89.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T09:30:00Z,258.720196 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T09:45:00Z,11.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T09:45:00Z,19.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T09:45:00Z,120.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T10:00:00Z,261.090669 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T10:00:00Z,2.76 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T10:00:00Z,1.57 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T10:00:00Z,2.35 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T10:00:00Z,2.54 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T10:15:00Z,38.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T10:15:00Z,36.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T10:15:00Z,116.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T10:30:00Z,266.170254 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T10:45:00Z,10.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T10:45:00Z,31.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T10:45:00Z,131.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T11:00:00Z,275.652146 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T11:00:00Z,2.89 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T11:00:00Z,1.64 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T11:00:00Z,2.41 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T11:00:00Z,2.31 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T11:15:00Z,37.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T11:15:00Z,1311.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T11:15:00Z,136.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T11:30:00Z,506.265305 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T11:45:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T11:45:00Z,31.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T11:45:00Z,168.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T12:00:00Z,2.25 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T12:00:00Z,2.01 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T12:00:00Z,2.57 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T12:00:00Z,2.25 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T12:15:00Z,36.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T12:15:00Z,1311.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T12:15:00Z,97.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T12:30:00Z,560.447545 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T12:30:00Z,331.188942 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T12:45:00Z,14.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T12:45:00Z,40.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T12:45:00Z,171.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T13:00:00Z,554.352043 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T13:00:00Z,10.43 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T13:00:00Z,1.79 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T13:00:00Z,2.52 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T13:00:00Z,2.49 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T13:15:00Z,22.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T13:15:00Z,346.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T13:15:00Z,128.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T13:30:00Z,1000.678245 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T13:45:00Z,17.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T13:45:00Z,43.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T13:45:00Z,150.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T14:00:00Z,437.182949 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T14:00:00Z,3.23 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T14:00:00Z,1.82 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T14:00:00Z,2.54 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T14:00:00Z,2.53 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T14:15:00Z,42.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T14:15:00Z,1311.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T14:15:00Z,138.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T14:30:00Z,417.880526 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T14:45:00Z,18.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T14:45:00Z,37.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T14:45:00Z,153.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T15:00:00Z,286.827233 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T15:00:00Z,3.63 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T15:00:00Z,2.59 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T15:00:00Z,2.39 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T15:00:00Z,2.49 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T15:15:00Z,44.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T15:15:00Z,1311.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T15:15:00Z,128.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T15:30:00Z,266.170254 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T15:45:00Z,17.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T15:45:00Z,45.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T15:45:00Z,177.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T16:00:00Z,3.56 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T16:00:00Z,3.92 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T16:00:00Z,2.61 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T16:00:00Z,2.7 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T16:15:00Z,45.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T16:15:00Z,86.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T16:15:00Z,121.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T16:30:00Z,287.504511 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T16:30:00Z,264.815698 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T16:45:00Z,16.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T16:45:00Z,39.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T16:45:00Z,154.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T17:00:00Z,194.040147 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T17:00:00Z,3.99 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T17:00:00Z,4.27 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T17:00:00Z,2.59 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T17:00:00Z,2.35 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T17:15:00Z,39.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T17:15:00Z,901.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T17:15:00Z,152.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T17:30:00Z,206.231151 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T17:45:00Z,13.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T17:45:00Z,39.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T17:45:00Z,154.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T18:00:00Z,236.031383 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T18:00:00Z,2.94 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T18:00:00Z,4.28 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T18:00:00Z,2.78 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T18:00:00Z,2.3 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T18:15:00Z,44.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T18:15:00Z,1311.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T18:15:00Z,138.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T18:30:00Z,194.040147 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T18:45:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T18:45:00Z,32.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T18:45:00Z,164.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T19:00:00Z,206.56979 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T19:00:00Z,3.27 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T19:00:00Z,2.7 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T19:00:00Z,2.41 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T19:00:00Z,2.13 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T19:15:00Z,44.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T19:15:00Z,342.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T19:15:00Z,115.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T19:30:00Z,219.776711 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T19:45:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T19:45:00Z,28.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T19:45:00Z,152.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T20:00:00Z,3.08 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T20:00:00Z,3.57 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T20:00:00Z,2.36 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T20:00:00Z,2.39 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T20:15:00Z,39.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T20:15:00Z,55.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T20:15:00Z,119.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T20:30:00Z,267.52481 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T20:30:00Z,298.679598 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T20:45:00Z,9.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T20:45:00Z,40.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T20:45:00Z,112.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T21:00:00Z,221.469906 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T21:00:00Z,3.51 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T21:00:00Z,2.33 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T21:00:00Z,2.44 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T21:00:00Z,2.34 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T21:15:00Z,28.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T21:15:00Z,58.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T21:15:00Z,130.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T21:30:00Z,344.395863 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T21:45:00Z,9.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T21:45:00Z,39.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T21:45:00Z,131.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T22:00:00Z,247.20647 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T22:00:00Z,3.85 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T22:00:00Z,2.0 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T22:00:00Z,2.41 
