network,platform,latitude,longitude,date,sea_water_turbidity,qcFlag 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T11:00:00Z,2.65,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T11:00:00Z,1.99,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T11:00:00Z,2.45,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T11:00:00Z,0.95,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T11:30:00Z,67.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T11:30:00Z,2432.443937,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T11:45:00Z,4.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T12:00:00Z,115.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T12:00:00Z,52.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T12:00:00Z,2.53,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T12:00:00Z,2.75,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T12:00:00Z,2.45,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T12:00:00Z,0.98,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T12:30:00Z,2641.045561,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T12:30:00Z,1809.348177,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T12:45:00Z,4.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T13:00:00Z,65.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T13:00:00Z,73.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T13:00:00Z,2.31,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T13:00:00Z,2.73,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T13:00:00Z,2.55,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T13:00:00Z,1.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T13:30:00Z,2959.70486,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T13:30:00Z,1593.973773,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T13:45:00Z,3.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T14:00:00Z,76.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T14:00:00Z,66.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T14:00:00Z,2.27,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T14:00:00Z,2.26,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T14:00:00Z,2.5,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T14:00:00Z,0.92,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T14:30:00Z,5028.78915,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T14:30:00Z,1588.555549,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T14:45:00Z,5.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T15:00:00Z,2036.913585,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T15:00:00Z,35.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T15:00:00Z,1.71,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T15:00:00Z,2.22,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T15:00:00Z,2.24,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T15:00:00Z,0.97,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T15:30:00Z,68.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T15:30:00Z,1003.048718,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T15:45:00Z,5.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T16:00:00Z,78.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T16:00:00Z,41.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T16:00:00Z,1.58,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T16:00:00Z,1.9,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T16:00:00Z,2.56,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T16:00:00Z,0.92,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T16:30:00Z,1100.915389,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T16:30:00Z,1145.277098,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T16:45:00Z,6.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T17:00:00Z,21.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T17:00:00Z,22.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T17:00:00Z,1.5,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T17:00:00Z,1.83,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T17:00:00Z,4.28,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T17:00:00Z,0.96,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T17:30:00Z,500.508442,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T17:30:00Z,511.683529,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T17:45:00Z,6.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T18:00:00Z,437.521588,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T18:00:00Z,12.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T18:00:00Z,1.6,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T18:00:00Z,2.0,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T18:00:00Z,2.87,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T18:00:00Z,0.94,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T18:30:00Z,18.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T18:30:00Z,422.621472,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T18:45:00Z,7.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T19:00:00Z,566.204408,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T19:00:00Z,30.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T19:00:00Z,1.53,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T19:00:00Z,2.01,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T19:00:00Z,3.6,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T19:00:00Z,0.91,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T19:30:00Z,707.416871,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T19:45:00Z,6.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T20:00:00Z,11.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T20:00:00Z,1.68,1111122 
